groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00539344.txt,..\..\Submissions\gt4hist\00539344.txt,1589,1574,0.8414096916,gt4hist\00539344.txt,gt4hist,00539344.txt,0
..\..\groundtruth\00539345.txt,..\..\Submissions\gt4hist\00539345.txt,1559,1579,0.8806927518,gt4hist\00539345.txt,gt4hist,00539345.txt,0
..\..\groundtruth\00539346.txt,..\..\Submissions\gt4hist\00539346.txt,1519,1566,0.8979591837,gt4hist\00539346.txt,gt4hist,00539346.txt,0
..\..\groundtruth\00539347.txt,..\..\Submissions\gt4hist\00539347.txt,1626,1657,0.8862238622,gt4hist\00539347.txt,gt4hist,00539347.txt,0
..\..\groundtruth\00539348.txt,..\..\Submissions\gt4hist\00539348.txt,1523,1542,0.8640840446,gt4hist\00539348.txt,gt4hist,00539348.txt,0
..\..\groundtruth\00539349.txt,..\..\Submissions\gt4hist\00539349.txt,1560,1561,0.85,gt4hist\00539349.txt,gt4hist,00539349.txt,0
..\..\groundtruth\00539350.txt,..\..\Submissions\gt4hist\00539350.txt,1508,1526,0.801061008,gt4hist\00539350.txt,gt4hist,00539350.txt,0
..\..\groundtruth\00539351.txt,..\..\Submissions\gt4hist\00539351.txt,1567,1557,0.8525845565,gt4hist\00539351.txt,gt4hist,00539351.txt,0
..\..\groundtruth\00539352.txt,..\..\Submissions\gt4hist\00539352.txt,1558,1552,0.8870346598,gt4hist\00539352.txt,gt4hist,00539352.txt,0
..\..\groundtruth\00539353.txt,..\..\Submissions\gt4hist\00539353.txt,1573,1551,0.881754609,gt4hist\00539353.txt,gt4hist,00539353.txt,0
..\..\groundtruth\00539354.txt,..\..\Submissions\gt4hist\00539354.txt,1614,1627,0.8692688971,gt4hist\00539354.txt,gt4hist,00539354.txt,0
..\..\groundtruth\00539355.txt,..\..\Submissions\gt4hist\00539355.txt,1579,1617,0.8758708043,gt4hist\00539355.txt,gt4hist,00539355.txt,0
..\..\groundtruth\00539356.txt,..\..\Submissions\gt4hist\00539356.txt,1609,1651,0.8881292728,gt4hist\00539356.txt,gt4hist,00539356.txt,0
